field_1,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat,centroid_x,centroid_y,KG
14521,,China,Asia,SWBD,1,0,37.03,96.59,4.48,37.03,0.0,3,1.0,326.206,1.3,855,0.35,657165.1,87.555826,40.568734,87.52488995,40.56941827,5
14555,,Spain,Europe,SWBD,2,2782,10.11,33.32,2.96,84.7,84.7,2,8.4,16.36,59.9,306,1.86,1758.4,-5.321504,40.108871,-5.311261698,40.09964044,7
14556,,China,Asia,SWBD,1,0,48.45,37.43,1.52,132.06,0.0,3,2.7,0.0,-1.0,1551,0.83,6866.4,77.347917,40.097917,77.34982133,40.10114068,5
14572,,China,Asia,SWBD,1,0,36.48,60.59,2.83,87.85,0.0,3,2.4,64.439,15.8,1100,0.79,76305.4,79.008838,39.830296,78.95015501,39.82287091,5
14629,,China,Asia,SWBD,1,0,46.41,36.03,1.49,154.07,0.0,3,3.3,0.93,1917.5,1223,0.99,1270.2,109.897917,39.097917,109.8815467,39.09714749,7
14651,,Uzbekistan,Asia,SWBD,1,0,65.15,52.09,1.82,903.83,0.0,3,13.9,0.008,1307619.0,239,3.2,198.9,64.68125,38.922917,64.66136182,38.91493079,7
14660,,Turkmenistan,Asia,SWBD,1,0,62.53,62.35,2.22,482.57,0.0,3,7.7,0.181,30858.2,203,1.94,2485.5,64.18281,38.825654,64.2158468,38.79641639,5
14663,,China,Asia,SWBD,1,0,29.15,37.37,1.95,29.68,0.0,3,1.0,0.453,758.4,1188,0.39,1290.7,77.259375,38.800707,77.24459391,38.77102834,5
14679,Trikhonis,Greece,Europe,SWBD,1,0,91.88,51.06,1.5,2177.59,0.0,3,23.7,5.191,4855.3,11,4.73,396.1,21.448304,38.551856,21.56777679,38.555511,8
14696,,Uzbekistan,Asia,SWBD,2,4693,56.63,35.38,1.33,1525.0,1525.0,2,26.9,0.01,1765046.0,389,1.37,90.4,65.548958,38.328258,65.57278017,38.37234049,7
14765,,China,Asia,SWBD,1,0,54.33,35.17,1.35,90.28,0.0,3,1.7,2.836,368.5,2814,0.53,12011.0,96.854029,37.252171,96.90386863,37.28652317,5
14784,,Turkey,Asia,SWBD,2,4453,36.78,93.31,4.34,1200.0,1200.0,2,32.6,123.716,112.3,56,3.92,19387.6,35.3397,37.03999,35.24009215,37.08660021,8
14787,,China,Asia,SWBD,1,0,47.38,38.42,1.57,185.88,0.0,3,3.9,0.834,2579.6,3197,1.14,367.6,100.533041,37.007279,100.5657355,37.00573853,23
14802,,Turkey,Asia,SWBD,1,0,51.17,51.71,2.04,911.8,0.0,3,17.8,14.515,727.1,-2,4.18,1016.4,28.632835,36.856235,28.65395927,36.90625,8
14804,,Algeria,Africa,SWBD,1,0,20.07,19.89,1.25,126.19,0.0,3,6.3,0.747,1955.2,22,2.06,77.6,8.401978,36.824688,8.390190894,36.8447876,8
14821,,China,Asia,SWBD,1,0,99.99,75.76,2.14,394.44,0.0,3,3.9,20.111,227.0,33,0.98,4344.6,119.408844,36.504738,119.4642388,36.41832859,21
